doc0	AP890321-0001
doc2228	AP891227-0021
doc2229	AP891227-0022
doc2230	AP891227-0023
doc2231	AP891227-0024
doc2232	AP891227-0025
doc2233	AP891227-0026
doc2234	AP891227-0027
doc2235	AP891227-0028
doc2236	AP891227-0029
doc2237	AP891227-0030
doc2238	AP891227-0031
doc2239	AP891227-0032
doc2240	AP891227-0033
doc2241	AP891227-0034
doc2242	AP891227-0035
doc2243	AP891227-0036
doc2244	AP891227-0037
doc2245	AP891227-0038
doc2246	AP891227-0039
doc2247	AP891227-0040
doc2248	AP891227-0041
doc2249	AP891227-0042
doc2250	AP891227-0043
doc2251	AP891227-0044
doc2252	AP891227-0045
doc2253	AP891227-0046
doc2254	AP891227-0047
doc2255	AP891227-0048
doc2256	AP891227-0049
doc2257	AP891227-0050
doc2258	AP891227-0051
doc2259	AP891227-0052
doc2260	AP891227-0053
doc2261	AP891227-0054
doc2262	AP891227-0055
doc2263	AP891227-0056
doc2264	AP891227-0057
doc2265	AP891227-0058
doc2266	AP891227-0059
doc2267	AP891227-0060
doc2268	AP891227-0061
doc2269	AP891227-0062
doc2270	AP891227-0063
doc2271	AP891227-0064
doc2272	AP891227-0065
doc2273	AP891227-0066
doc2274	AP891227-0067
doc2275	AP891227-0068
doc2276	AP891227-0069
doc2277	AP891227-0070
doc2278	AP891227-0071
doc2279	AP891227-0072
doc2280	AP891227-0073
doc2281	AP891227-0074
doc2282	AP891227-0075
doc2283	AP891227-0076
doc2284	AP891227-0077
doc2285	AP891227-0078
doc2286	AP891227-0079
doc2287	AP891227-0080
doc2288	AP891227-0081
doc2289	AP891227-0082
doc2290	AP891227-0083
doc2291	AP891227-0084
doc2292	AP891227-0085
doc2293	AP891227-0086
doc2294	AP891227-0087
doc2295	AP891227-0088
doc2296	AP891227-0089
doc2297	AP891227-0090
doc2298	AP891227-0091
doc2299	AP891227-0092
doc2300	AP891227-0093
doc2301	AP891227-0094
doc2302	AP891227-0095
doc2303	AP891227-0096
doc2304	AP891227-0097
doc2305	AP891227-0098
doc2306	AP891227-0099
doc2307	AP891227-0100
doc2308	AP891227-0101
doc2309	AP891227-0102
doc2310	AP891227-0103
doc2311	AP891227-0104
doc2312	AP891227-0105
doc2313	AP891227-0106
doc2314	AP891227-0107
doc2315	AP891227-0108
doc2316	AP891227-0109
doc2317	AP891227-0110
doc2318	AP891227-0111
doc2319	AP891227-0112
doc2320	AP891227-0113
doc2321	AP891227-0114
doc2322	AP891227-0115
doc2323	AP891227-0116
doc2324	AP891227-0117
doc2325	AP891227-0118
doc2326	AP891227-0119
doc2327	AP891227-0120
doc2328	AP891227-0121
doc2329	AP891227-0122
doc2330	AP891227-0123
doc2331	AP891227-0124
doc2332	AP891227-0125
doc2333	AP891227-0126
doc2334	AP891227-0127
doc2335	AP891227-0128
doc2336	AP891227-0129
doc2337	AP891227-0130
doc2338	AP891227-0131
doc2339	AP891227-0132
doc2340	AP891227-0133
doc2341	AP891227-0134
doc2342	AP891227-0135
doc2343	AP891227-0136
doc2344	AP891227-0137
doc2345	AP891227-0138
doc2346	AP891227-0139
doc2347	AP891227-0140
doc2348	AP891227-0141
doc2349	AP891227-0142
doc2350	AP891227-0143
doc2351	AP891227-0144
doc2352	AP891227-0145
doc2353	AP891227-0146
doc2354	AP891227-0147
doc2355	AP891227-0148
doc2356	AP891227-0149
doc2357	AP891227-0150
doc2358	AP891227-0151
doc2359	AP891227-0152
doc2360	AP891227-0153
doc2361	AP891227-0154
doc2362	AP891227-0155
doc2363	AP891227-0156
doc2364	AP891227-0157
doc2365	AP891227-0158
doc2366	AP891227-0159
doc2367	AP891227-0160
doc2368	AP891227-0161
doc2369	AP891227-0162
doc2370	AP891227-0163
doc2371	AP891227-0164
doc2372	AP891227-0165
doc2373	AP891227-0166
doc2374	AP891227-0167
doc2375	AP891227-0168
doc2376	AP891227-0169
doc2377	AP891227-0170
doc2378	AP891227-0171
doc2379	AP891227-0172
doc2380	AP891227-0173
doc2381	AP891227-0174
doc2382	AP891227-0175
doc2383	AP891227-0176
doc2384	AP891227-0177
doc2385	AP891227-0178
doc2386	AP891227-0179
doc2387	AP891227-0180
doc2388	AP891227-0181
doc2389	AP891227-0182
doc2390	AP891227-0183
doc2391	AP891227-0184
doc2392	AP891227-0185
doc2393	AP891227-0186
doc2394	AP891227-0187
doc2395	AP891227-0188
doc2396	AP891227-0189
doc2397	AP891227-0190
doc2398	AP891227-0191
doc2399	AP891227-0192
doc2400	AP891227-0193
doc2401	AP891227-0194
doc2402	AP891227-0195
doc2403	AP891227-0196
doc2404	AP891227-0197
doc2405	AP891227-0198
doc2406	AP891227-0199
doc2407	AP891227-0200
doc2408	AP891227-0201
doc2409	AP891227-0202
doc2410	AP891227-0203
doc2411	AP891227-0204
doc2412	AP891227-0205
doc2413	AP891229-0001
doc2414	AP891229-0002
doc2415	AP891229-0003
doc2416	AP891229-0004
doc2417	AP891229-0005
doc2418	AP891229-0006
doc2419	AP891229-0007
doc2420	AP891229-0008
doc2421	AP891229-0009
doc2422	AP891229-0010
doc2423	AP891229-0011
doc2424	AP891229-0012
doc2425	AP891229-0013
doc2426	AP891229-0014
doc2427	AP891229-0015
doc2428	AP891229-0016
doc2429	AP891229-0017
doc2430	AP891229-0018
doc2431	AP891229-0019
doc2432	AP891229-0020
doc2433	AP891229-0021
doc2434	AP891229-0022
doc2435	AP891229-0023
doc2436	AP891229-0024
doc2437	AP891229-0025
doc2438	AP891229-0026
doc2439	AP891229-0027
doc2440	AP891229-0028
doc2441	AP891229-0029
doc2442	AP891229-0030
doc2443	AP891229-0031
doc2444	AP891229-0032
doc2445	AP891229-0033
doc2446	AP891229-0034
doc2447	AP891229-0035
doc2448	AP891229-0036
doc2449	AP891229-0037
doc2450	AP891229-0038
doc2451	AP891229-0039
doc2452	AP891229-0040
doc2453	AP891229-0041
doc2454	AP891229-0042
doc2455	AP891229-0043
doc2456	AP891229-0044
doc2457	AP891229-0045
doc2458	AP891229-0046
doc2459	AP891229-0047
doc2460	AP891229-0048
doc2461	AP891229-0049
doc2462	AP891229-0050
doc2463	AP891229-0051
doc2464	AP891229-0052
doc2465	AP891229-0053
doc2466	AP891229-0054
doc2467	AP891229-0055
doc2468	AP891229-0056
doc2469	AP891229-0057
doc2470	AP891229-0058
doc2471	AP891229-0059
doc2472	AP891229-0060
doc2473	AP891229-0061
doc2474	AP891229-0062
doc2475	AP891229-0063
doc2476	AP891229-0064
doc2477	AP891229-0065
doc2478	AP891229-0066
doc2479	AP891229-0067
doc2480	AP891229-0068
doc2481	AP891229-0069
doc2482	AP891229-0070
doc2483	AP891229-0071
doc2484	AP891229-0072
doc2485	AP891229-0073
doc2486	AP891229-0074
doc2487	AP891229-0075
doc2488	AP891229-0076
doc2489	AP891229-0077
doc2490	AP891229-0078
doc2491	AP891229-0079
doc2492	AP891229-0080
doc2493	AP891229-0081
doc2494	AP891229-0082
doc2495	AP891229-0083
doc2496	AP891229-0084
doc2497	AP891229-0085
doc2498	AP891229-0086
doc2499	AP891229-0087
doc2500	AP891229-0088
doc2501	AP891229-0089
doc2502	AP891229-0090
doc2503	AP891229-0091
doc2504	AP891229-0092
doc2505	AP891229-0093
doc2506	AP891229-0094
doc2507	AP891229-0095
doc2508	AP891229-0096
doc2509	AP891229-0097
doc2510	AP891229-0098
doc2511	AP891229-0099
doc2512	AP891229-0100
doc2513	AP891229-0101
doc2514	AP891229-0102
doc2515	AP891229-0103
doc2516	AP891229-0104
doc2517	AP891229-0105
doc2518	AP891229-0106
doc2519	AP891229-0107
doc2520	AP891229-0108
doc2521	AP891229-0109
doc2522	AP891229-0110
doc2523	AP891229-0111
doc2524	AP891229-0112
doc2525	AP891229-0113
doc2526	AP891229-0114
doc2527	AP891229-0115
doc2528	AP891229-0116
doc2529	AP891229-0117
doc2530	AP891229-0118
doc2531	AP891229-0119
doc2532	AP891229-0120
doc2533	AP891229-0121
doc2534	AP891229-0122
doc2535	AP891229-0123
doc2536	AP891229-0124
doc2537	AP891229-0125
doc2538	AP891229-0126
doc2539	AP891229-0127
doc2540	AP891229-0128
doc2541	AP891229-0129
doc2542	AP891229-0130
doc2543	AP891229-0131
doc2544	AP891229-0132
doc2545	AP891229-0133
doc2546	AP891229-0134
doc2547	AP891229-0135
doc2548	AP891229-0136
doc2549	AP891229-0137
doc2550	AP891229-0138
doc2551	AP891229-0139
doc2552	AP891229-0140
doc2553	AP891229-0141
doc2554	AP891229-0142
doc2555	AP891229-0143
doc2556	AP891229-0144
doc2557	AP891229-0145
doc2558	AP891229-0146
doc2559	AP891229-0147
doc2560	AP891229-0148
doc2561	AP891229-0149
doc2562	AP891229-0150
doc2563	AP891229-0151
doc2564	AP891229-0152
doc2565	AP891229-0153
doc2566	AP891229-0154
doc2567	AP891229-0155
doc2568	AP891229-0156
doc2569	AP891229-0157
doc2570	AP891229-0158
doc2571	AP891229-0159
doc2572	AP891229-0160
doc2573	AP891229-0161
doc2574	AP891229-0162
doc2575	AP891229-0163
doc2576	AP891229-0164
doc2577	AP891229-0165
doc2578	AP891229-0166
doc2579	AP891229-0167
doc2580	AP891229-0168
doc2581	AP891229-0169
doc2582	AP891229-0170
doc2583	AP891229-0171
doc2584	AP891229-0172
doc2585	AP891229-0173
doc2586	AP891229-0174
doc2587	AP891229-0175
doc2588	AP891229-0176
doc2589	AP891229-0177
doc2590	AP891229-0178
doc2591	AP891229-0179
doc2592	AP891229-0180
doc2593	AP891229-0181
doc2594	AP891229-0182
doc2595	AP891229-0183
doc2596	AP891229-0184
doc2597	AP891229-0185
doc2598	AP891229-0186
doc2599	AP891229-0187
doc2600	AP891229-0188
doc2601	AP891229-0189
doc2602	AP891229-0190
doc2603	AP891229-0191
doc2604	AP891229-0192
doc2605	AP891229-0193
doc2606	AP891229-0194
doc2607	AP891229-0195
doc2608	AP891229-0196
doc2609	AP891229-0197
doc2610	AP891229-0198
doc2611	AP891229-0199
doc2612	AP891229-0200
doc2613	AP891229-0201
doc2614	AP891229-0202
doc2615	AP891229-0203
doc2616	AP891229-0204
doc2617	AP891229-0205
doc2618	AP891229-0206
doc2619	AP891229-0207
doc2620	AP891229-0208
doc2621	AP891229-0209
doc2622	AP891229-0210
doc2623	AP891229-0211
doc2624	AP891229-0212
doc2625	AP891229-0213
doc2626	AP891229-0214
doc2627	AP891229-0215
doc2628	AP891229-0216
doc2629	AP891229-0217
doc2630	AP891229-0218
doc2631	AP891229-0219
doc2632	AP891229-0220
doc2633	AP891229-0221
doc2634	AP891229-0222
doc2635	AP891229-0223
doc2636	AP891229-0224
doc2637	AP891229-0225
doc2638	AP891229-0226
doc2639	AP891229-0227
doc2640	AP891229-0228
doc2641	AP891229-0229
doc2642	AP891229-0230
doc2643	AP891229-0231
doc2644	AP891229-0232
doc2645	AP891229-0233
doc2646	AP891229-0234
doc2647	AP891229-0235
doc2648	AP891229-0236
doc2649	AP891229-0237
doc2650	AP891229-0238
doc2651	AP891229-0239
doc2652	AP891229-0240
doc2653	AP891229-0241
doc2654	AP891231-0001
doc2655	AP891231-0002
doc2656	AP891231-0003
doc2657	AP891231-0004
doc2658	AP891231-0005
doc2659	AP891231-0006
doc2660	AP891231-0007
doc2661	AP891231-0008
doc2662	AP891231-0009
doc2663	AP891231-0010
doc2664	AP891231-0011
doc2665	AP891231-0012
doc2666	AP891231-0013
doc2667	AP891231-0014
doc2668	AP891231-0015
doc2669	AP891231-0016
doc2670	AP891231-0017
doc2671	AP891231-0018
doc2672	AP891231-0019
doc2673	AP891231-0020
doc2674	AP891231-0021
doc2675	AP891231-0022
doc2676	AP891231-0023
doc2677	AP891231-0024
doc2678	AP891231-0025
doc2679	AP891231-0026
doc2680	AP891231-0027
doc2681	AP891231-0028
doc2682	AP891231-0029
doc2683	AP891231-0030
doc2684	AP891231-0031
doc2685	AP891231-0032
doc2686	AP891231-0033
doc2687	AP891231-0034
doc2688	AP891231-0035
doc2689	AP891231-0036
doc2690	AP891231-0037
doc2691	AP891231-0038
doc2692	AP891231-0039
doc2693	AP891231-0040
doc2694	AP891231-0041
doc2695	AP891231-0042
doc2696	AP891231-0043
doc2697	AP891231-0044
doc2698	AP891231-0045
doc2699	AP891231-0046
doc2700	AP891231-0047
doc2701	AP891231-0048
